Gene	Africa.America	Fertile.Crescent	Indo.Pacific	Russia	Western.Mediterranean	Match	COG	FunctionalCategory	Name	Gene.y	FunctionalPathway
group_3294	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004686229	COG4547	H	Cobalamin biosynthesis cobaltochelatase CobT subunit	CobT2	Cobalamine/B12 biosynthesis
group_3301	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3302	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
hemL	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3309	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3312	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684551	COG2887	L	RecB family exonuclease	Slr0479	
group_3312	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684551	COG3893	L	Inactivated superfamily I helicase		
group_3324	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683973	COG1253	R	Hemolysin-related protein, contains CBS domains, UPF0053 family	TlyC	
group_3329	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3332	FALSE	FALSE	FALSE	TRUE	FALSE	WP_012093044	COG0154	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	GatA	Aminoacyl-tRNA synthetases
group_3342	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683729	COG0746	H	Molybdopterin-guanine dinucleotide biosynthesis protein A	MobA	Molybdopterin biosynthesis
group_3343	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3352	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3364	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004686859	COG4943	T	Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains	YjcC	
group_3396	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004682264	COG2814	G	Predicted arabinose efflux permease AraJ, MFS family	AraJ	
group_3398	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002965598	COG0778	C	Nitroreductase	NfnB	Pyrimidine degradation
group_3402	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004686521	COG5451	S	Predicted secreted protein		
fliE_1	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966429	COG1677	N	Flagellar hook-basal body complex protein FliE	FliE	
group_3426	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3429	FALSE	FALSE	FALSE	TRUE	FALSE	WP_005968719	COG0492	O	Thioredoxin reductase	TrxB	
group_3433	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002968215	COG2186	K	DNA-binding transcriptional regulator, FadR family	FadR	
group_3436	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684210	COG4784	R	Putative Zn-dependent protease		
group_3437	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684210	COG4784	R	Putative Zn-dependent protease		
group_3440	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684013	COG5587	S	Uncharacterized protein, contains DUF2461 domain		
group_3448	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966383	COG0196	H	FAD synthase	RibF	Riboflavin/FAD biosynthesis
group_3454	FALSE	FALSE	FALSE	TRUE	FALSE	WP_010661263	COG0439	I	Biotin carboxylase	AccC	Fatty acid biosynthesis
group_1821	FALSE	FALSE	FALSE	FALSE	TRUE	WP_012092477	COG2303	IR	Choline dehydrogenase or related flavoprotein	BetA	Non-phosphorylated Entner-Doudoroff pathway
group_2401	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2406	FALSE	FALSE	FALSE	FALSE	TRUE	WP_012092477	COG2303	IR	Choline dehydrogenase or related flavoprotein	BetA	Non-phosphorylated Entner-Doudoroff pathway
group_2450	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004686250	COG0456	J	Ribosomal protein S18 acetylase RimI and related acetyltransferases	RimI	
group_2461	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2474	FALSE	FALSE	FALSE	FALSE	TRUE	WP_010658897	COG0834	ET	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	HisJ	
group_2250	FALSE	FALSE	FALSE	FALSE	TRUE	WP_011005608	COG0382	H	4-hydroxybenzoate polyprenyltransferase	UbiA	Ubiquinone biosynthesis
group_2250	FALSE	FALSE	FALSE	FALSE	TRUE	WP_011005608	COG0560	E	Phosphoserine phosphatase	SerB	Serine biosynthesis
group_2599	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004680979	COG1298	N	Flagellar biosynthesis protein FlhA	FlhA	
group_2678	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002964065	COG2608	P	Copper chaperone CopZ	CopZ	
group_2309	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004683910	COG4799	I	Acetyl-CoA carboxylase, carboxyltransferase component	MmdA	
group_2679	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2463	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2473	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002966000	COG2057	I	Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit	AtoA	
group_2673	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2682	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2672	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2310	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004681841	COG1252	C	NADH dehydrogenase, FAD-containing subunit	Ndh	
group_2674	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004681240	COG0115	EH	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	IlvE	Isoleucine, leucine, valine biosynthesis
group_2611	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2469	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2656	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2694	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004686871	COG1566	V	Multidrug resistance efflux pump EmrA	EmrA	
group_2320	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2693	FALSE	FALSE	FALSE	FALSE	TRUE	WP_086000502	COG2801	X	Transposase InsO and inactivated derivatives	Tra5	
group_2322	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004684123	COG2225	C	Malate synthase	AceB	TCA cycle, glyoxylate bypass
group_2605	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2797	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2798	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2799	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2816	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004684705	COG2217	P	Cation-transporting P-type ATPase	ZntA	
group_2311	FALSE	FALSE	FALSE	FALSE	TRUE	WP_040130030	COG1702	T	Phosphate starvation-inducible protein PhoH, predicted ATPase	PhoH	
group_2318	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002969234	COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	CysG	Cobalamine/B12 biosynthesis
group_2318	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002969234	COG1648	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	CysG2	Heme biosynthesis
group_2325	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004682835	COG0493	ER	NADPH-dependent glutamate synthase beta chain or related oxidoreductase	GltD	Glutamine biosynthesis
group_2329	FALSE	FALSE	FALSE	FALSE	TRUE	WP_012091501	COG1228	Q	Imidazolonepropionase or related amidohydrolase	HutI	
group_2332	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2775	FALSE	FALSE	FALSE	FALSE	TRUE	WP_004683953	COG1903	H	Cobalamin biosynthesis protein CbiD (cobalt-precorrin-5B C-methyltransferase)	CbiD	Cobalamine/B12 biosynthesis
group_2777	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002969234	COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	CysG	Cobalamine/B12 biosynthesis
group_2777	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002969234	COG1648	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	CysG2	Heme biosynthesis
group_2783	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002964590	COG0505	EF	Carbamoylphosphate synthase small subunit	CarA	Arginine biosynthesis
group_2849	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2852	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2854	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2874	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2890	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_3373	FALSE	FALSE	FALSE	FALSE	TRUE	WP_002966536	COG2204	T	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	AtoC	
